"record_id","redcap_event_name","date_dmy","date_mdy","date_ymd","datetime_dmy_hm","datetime_mdy_hm","datetime_ymd_hm","datetime_dmy_hms","datetime_mdy_hms","datetime_ymd_hms","time_hhmmss","time_hhmm","time_mmss","fieldtovar_datetimes_complete","treatment","randomization_complete","row_purpose","prereq_radio","prereq_checkbox___1","prereq_checkbox___2","prereq_checkbox___abc","prereq_checkbox___4","prereq_number","prereq_date","prereq_yesno","no_prereq_number","no_prereq_checkbox___1","no_prereq_checkbox___2","no_prereq_checkbox___3","one_prereq_non_checkbox","one_prereq_checkbox","two_prereq_and","two_prereq_or","two_prereq_and_one_check","three_prereq_andor","one_prereq_inequality","branching_logic_complete","file_import_field","left_operand","right_operand","calc_addition","calc_squared","text_test","date_dmy_test","date_mdy_test","date_ymd_test","datetime_dmy_hm_test","datetime_mdy_hm_test","datetime_ymd_hm_test","datetime_dmy_hms_test","datetime_mdy_hms_test","datetime_ymd_hms_test","email_test","integer_test","letters_only_test","number_test","number_1dp_comma_test","number_1dp_test","number_2dp_comma_test","number_2dp_test","phone_test","time_hhmm_test","time_mmss_test","zipcode_test","notes_test","dropdown_test","radio_test","checkbox_test___x","checkbox_test___y","checkbox_test___z","yesno_test","truefalse_test","signature_test","file_upload_test","slider_no_label_test","slider_text_label_test","slider_show_number_test","data_import_export_complete"
"1","event_1_arm_1","2023-02-24","2023-02-24","2023-02-24","2023-02-24 12:04","2023-02-24 12:04","2023-02-24 12:04","2023-02-24 12:40:50","2023-02-24 12:40:50","2023-02-24 12:40:50","12:04:55","12:04","02:45","2",,"0",,,"0","0","0","0",,,,,"0","0","0",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,,"0"
"2","event_1_arm_1",,,,,,,,,,,,,"0",,"0",,,"0","0","0","0",,,,,"0","0","0",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,,"0"
"3","event_1_arm_1",,,,,,,,,,,,,"0","1","0",,,"0","0","0","0",,,,,"0","0","0",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,,"0"
"10","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: None  Target field: no_prereq_number    Desired outcome: missing value in no_prereq_number","4","0","0","0","1","1","2023-03-08","0",,"0","1","0",,,,,,,,"0",,"35","24","59","1225","quis cillum pariatur. qui","2024-01-23","2024-02-08","2023-07-10","2023-07-07 08:42","2023-09-20 05:12","2023-11-17 06:36:10","2024-02-02 00:41:45","2023-09-26 01:47:00","2024-02-10 14:56:53","Ut@ex.com","38","Ut","22.550985342823","41,7","74.2","35,83","89.04","(555) 555-8076","21:35","45:45","42308","amet, eu in ut exercitation pariatur. et sunt Lorem ipsum dolore fugiat","3","c","1","0","0","1","0",,,"45","53","13","0"
"11","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: None  Target field: no_prereq_number    Desired outcome: With a value in the target, no missing value is identified.","4","0","0","0","1","1","2023-03-08","0","123456","0","0","0",,,,,,,,"0",,"34","9","43","1156","voluptate et dolore anim","2024-02-22","2023-10-31","2024-03-06","2023-09-29 20:54","2023-08-04 02:45","2023-07-05 13:13:54","2023-08-21 20:45:48","2023-10-05 07:34:58","2023-11-25 04:51:29","dolor@Duis.net","67","Duis","19.1455545369536","36,5","40.2","18,80","70.72","(555) 555-2658","18:29","56:35","23589","labore dolor incididunt in cupidatat nulla et consequat. do Ut esse quis","2","a","0","0","0","0","1",,,"24","23","72","0"
"12","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with no values in the target checked, there are no missing values.","4","0","0","0","1","1","2023-03-08","0","123456","0","0","0",,,,,,,,"0",,"31","26","57","961","culpa in Duis consectetur","2023-07-28","2023-10-09","2023-08-12","2023-06-04 12:30","2023-09-04 08:17","2023-07-07 01:58:08","2023-05-18 22:57:57","2023-09-29 12:29:32","2023-05-13 22:16:43","enim@sunt.org","89","qui","14.3799901520833","12,4","33.2","42,41","66.24","(555) 555-2069","23:11","01:01","48926","ad labore dolor sed esse enim in voluptate dolor fugiat sint reprehenderit","3","a","0","0","1","1","0",,,"42","1","77","0"
"13","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with at least one value checked in the target checked, there are no missing values.","4","0","0","0","1","1","2023-03-08","0","123456","0","1","0",,,,,,,,"0",,"6","21","27","36","fugiat cupidatat dolor tempor","2024-02-16","2023-11-27","2024-03-31","2024-01-02 14:53","2023-05-07 10:15","2023-06-01 17:28:18","2023-11-28 15:01:15","2023-06-19 18:27:50","2024-02-24 13:27:56","in@aute.org","57","sint","26.3226611912251","37,8","69.8","30,60","59.66","(555) 555-6598","05:11","12:20","18564","consectetur officia ut nostrud ut do incididunt Ut consequat. est culpa sunt","1","b","0","1","0","1","0",,,"48","62","80","0"
"14","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With no value in the target, a missing value is identified.","1","0","0","0","1","1","2023-03-08","0","123456","0","0","1",,,,,,,,"0",,"50","39","89","2500","elit, in ut exercitation","2023-10-04","2024-03-23","2023-11-06","2023-07-22 08:51","2024-04-09 01:16","2023-12-30 18:10:31","2023-05-04 06:34:21","2023-06-12 23:40:15","2023-12-20 05:47:40","magna@eiusmod.com","98","incididunt","23.6691879713908","27,8","39.7","33,80","60.98","(555) 555-0217","02:32","08:56","52178","labore velit aliqua. nostrud deserunt eu dolore magna incididunt Lorem pariatur. officia","3","c","0","0","1","0","1",,,"40","83","59","0"
"15","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With a value in the target, no missing value is identified.","1","0","0","0","1","1","2023-03-08","0","123456","1","0","0","2",,,,,,,"0",,"33","17","50","1089","sit dolore anim adipiscing","2023-07-12","2023-08-29","2023-06-23","2023-08-30 04:00","2023-10-02 16:18","2023-04-16 01:19:44","2023-12-11 00:34:46","2023-10-27 02:56:30","2023-05-21 02:55:32","ullamco@mollit.com","71","amet","20.1799079449847","32,2","37.1","39,45","45.27","(555) 555-7234","14:08","38:51","27034","irure ut nisi et ipsum sed cillum cupidatat dolore do dolor veniam,","2","a","0","1","1","1","1",,,"38","82","40","0"
"16","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With no value in the target, a missing value is identified.","4","0","0","1","0","1","2023-03-08","0","123456","0","0","1",,,,,,,,"0",,"7","10","17","49","non adipiscing minim sint","2023-06-08","2023-06-19","2023-10-30","2023-08-26 12:39","2024-02-01 05:40","2023-10-05 18:41:52","2024-03-11 09:47:45","2023-04-27 18:28:54","2023-08-13 08:36:28","tempor@in.net","40","aliqua","24.557185373269","28,8","75.5","47,13","82.46","(555) 555-9705","20:55","40:44","42038","laborum. in adipiscing proident, sed eu deserunt irure tempor veniam, aliquip velit","2","b","1","0","1","1","1",,,"19","74","88","0"
