record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,record_id_complete,treatment,randomization_complete,email_test,letters_only_test,phone_test,text_test,zipcode_test,text_fields_complete,date_dmy_test,date_mdy_test,date_ymd_test,datetime_dmy_hm_test,datetime_mdy_hm_test,datetime_ymd_hm_test,datetime_dmy_hms_test,datetime_mdy_hms_test,datetime_ymd_hms_test,time_hhmm_test,time_mmss_test,dates_and_times_complete,integer_test,number_1dp_comma_test,number_1dp_test,number_2dp_comma_test,number_2dp_test,number_test,numbers_complete,slider_no_label_test,slider_show_number_test,slider_text_label_test,slider_fields_complete,checkbox_test___x,checkbox_test___y,checkbox_test___z,dropdown_test,radio_test,truefalse_test,yesno_test,multiple_choice_complete,file_upload_test,notes_test,signature_test,files_notes_descriptions_complete,left_operand,right_operand,calc_addition,calc_squared,calculated_fields_complete,row_purpose,prereq_radio,prereq_checkbox___1,prereq_checkbox___2,prereq_checkbox___abc,prereq_checkbox___4,prereq_number,prereq_date,prereq_yesno,no_prereq_number,no_prereq_checkbox___1,no_prereq_checkbox___2,no_prereq_checkbox___3,one_prereq_non_checkbox,one_prereq_checkbox,two_prereq_and,two_prereq_or,two_prereq_and_one_check,three_prereq_andor,one_prereq_inequality,branching_logic_complete,repeat_question_1,repeat_datetime,repeating_instrument_complete
1,event_1_arm_1,,,,0,,0,,,,,,0,2023-02-24,2023-02-24,2023-02-24,"2023-02-24 12:04","2023-02-24 12:04","2023-02-24 12:04","2023-02-24 12:40:50","2023-02-24 12:40:50","2023-02-24 12:40:50",,02:45,0,,,,,,,0,,,,0,0,0,0,,,,,0,,,,,,,,,0,,,0,0,0,0,,,,,0,0,0,,,,,,,,0,,,0
1,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"some notes",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,event_1_arm_1,,,,0,2,0,dolor@Duis.net,Duis,"(555) 555-2658","voluptate et dolore anim",23589,0,2024-02-22,2024-03-06,2023-09-29,"2023-08-04 02:45","2023-07-05 13:13","2023-08-21 20:45","2023-10-05 07:34:00","2023-11-25 04:51:00","2023-11-25 04:51:00",18:29,56:35,0,67,"36,5",40.2,"18,80",70.72,19.14555454,0,24,23,72,0,0,0,0,2,a,0,1,0,,,,,34,9,43,1156,0,"Pre-requisite field: None  Target field: no_prereq_number    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,1,2023-03-08,0,123456,0,0,0,,,,,,,,0,,,0
2,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,event_1_arm_1,,,,0,1,0,enim@sunt.org,qui,"(555) 555-2069","culpa in Duis consectetur",48926,0,2023-07-28,2023-08-12,2023-06-04,"2023-09-04 08:17","2023-07-07 01:58","2023-05-18 22:57","2023-09-29 12:29:00","2023-05-13 22:16:00","2023-05-13 22:16:00",23:11,01:01,0,89,"12,4",33.2,"42,41",66.24,14.37999015,0,42,1,77,0,0,0,1,3,a,1,0,0,,,,,31,26,57,961,0,"Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with no values in the target checked, there are no missing values.",4,0,0,0,1,1,2023-03-08,0,123456,0,0,0,,,,,,,,0,,,0
3,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,event_1_arm_1,,,,0,2,0,in@aute.org,sint,"(555) 555-6598","fugiat cupidatat dolor tempor",18564,0,2024-02-16,2024-03-31,2024-01-02,"2023-05-07 10:15","2023-06-01 17:28","2023-11-28 15:01","2023-06-19 18:27:00","2024-02-24 13:27:00","2024-02-24 13:27:00",05:11,12:20,0,57,"37,8",69.8,"30,60",59.66,26.32266119,0,48,62,80,0,0,1,0,1,b,1,0,0,,,,,6,21,27,36,0,"Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with at least one value checked in the target checked, there are no missing values.",4,0,0,0,1,1,2023-03-08,0,123456,0,1,0,,,,,,,,0,,,0
4,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,event_1_arm_1,,,,0,,0,magna@eiusmod.com,incididunt,"(555) 555-0217","elit, in ut exercitation",52178,0,2023-10-04,2023-11-06,2023-07-22,"2024-04-09 01:16","2023-12-30 18:10","2023-05-04 06:34","2023-06-12 23:40:00","2023-12-20 05:47:00","2023-12-20 05:47:00",02:32,08:56,0,98,"27,8",39.7,"33,80",60.98,23.66918797,0,40,83,59,0,0,0,1,3,c,0,1,0,,,,,50,39,89,2500,0,"Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With no value in the target, a missing value is identified.",1,0,0,0,1,1,2023-03-08,0,123456,0,0,1,,,,,,,,0,,,0
5,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,event_1_arm_1,,,,0,,0,ullamco@mollit.com,amet,"(555) 555-7234","sit dolore anim adipiscing",27034,0,2023-07-12,2023-06-23,2023-08-30,"2023-10-02 16:18","2023-04-16 01:19","2023-12-11 00:34","2023-10-27 02:56:00","2023-05-21 02:55:00","2023-05-21 02:55:00",14:08,38:51,0,71,"32,2",37.1,"39,45",45.27,20.17990794,0,38,82,40,0,0,1,1,2,a,1,1,0,,,,,33,17,50,1089,0,"Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With a value in the target, no missing value is identified.",1,0,0,0,1,1,2023-03-08,0,123456,1,0,0,2,,,,,,,0,,,0
6,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
